archivo,line,fragmento
"public/api/candidates.php",336,"$passwordHash = password_hash($validData['password'] ?? bin2hex(random_bytes(8)), PASSWORD_DEFAULT);"
"public/api/ai_assignment.php",133,"//    Nota: ajusta tipos si tu ID de candidato es UUID (char(36))"
"public/api/ai_assignment.php",138,"VALUES (UUID(), ?, ?, ?, ?, 'ai', 'ai_assignment', NOW(), NOW())"
"public/api/candidate_routing.php",95,"VALUES (UUID(), ?, ?, ?, ?, ?, ?, NOW(), NOW())');"
"public/api/auth/sso/callback.php",67,"$stmt = $pdo->prepare(\"INSERT INTO bt_staff_sessions (id, staff_user_id, refresh_jti, expires_at, created_at) VALUES (UUID(), ?, ?, DATE_ADD(NOW(), INTERVAL 8 HOUR), NOW())\");"
"public/api/candidate_skills.php",77,"INSERT INTO ' . T('candidate_skills') . ' (id, candidate_id, skill, created_at) VALUES (UUID(), ?, ?, NOW())"
"public/api/candidates/save_v2.php",160,") VALUES (UUID(), ?, ?, ?, ?, ?, ?, ?)"
"public/api/candidates/save_v2.php",186,") VALUES (UUID(), ?, ?, ?, ?, ?)"
"public/api/candidates/save_v2.php",209,") VALUES (UUID(), ?, ?, ?)"
"public/api/candidates/save_v2.php",228,") VALUES (UUID(), ?, ?, ?, ?, ?)"
"public/api/candidates/save.php",76,"UUID(), :name, :email, :phone, :location, :date_of_birth,"
"public/api/candidate_languages.php",91,"VALUES (UUID(), ?, ?, ?, NOW())');"
"public/api/candidate_references.php",95,"VALUES (UUID(), ?, ?, ?, ?, ?, ?, NOW())');"
"public/api/candidate_certifications.php",85,"VALUES (UUID(), ?, ?, ?, ?, ?, NOW())');"
"public/api/candidate_education.php",97,"VALUES (UUID(), ?, ?, ?, ?, ?, ?, ?, NOW())');"
"src/Utils/Validator.php",85,"throw new \\InvalidArgumentException(\"$field inválido (esperado tipo char(36))\");"
"database/migrations/bt_candidates.sql",31,"`id` char(36) NOT NULL,"
"tests/database/migrations/bt_candidates.sql",31,"`id` char(36) NOT NULL,"
"tests/database/migrations/bubble_talents_DB (5).sql",31,"`id` char(36) NOT NULL,  (varias tablas y columnas usan char(36) como id/candidate_id/job_id)"
"tests/public/api/cv/parse.php",198,"// Generar UUID seguro para el archivo\n$uuid = bin2hex(random_bytes(16));"
"_backups/api_backup/candidate_skills.php",69,"INSERT INTO ... VALUES (UUID(), ?, ?, NOW())"
"_backups/api_backup/candidate_routing.php",89,"VALUES (UUID(), ?, ?, ?, ?, ?, ?, NOW(), NOW())');"
"_backups/api_backup/auth/sso/callback.php",70,"INSERT INTO bt_staff_sessions (id, staff_user_id, refresh_jti, expires_at, created_at) VALUES (UUID(), ?, ?, DATE_ADD(NOW(), INTERVAL 8 HOUR), NOW())"
"_backups/api_backup/candidates/save_v2.php",131,") VALUES (UUID(), ?, ?, ?, ?, ?, ?, ?)"
"_backups/api_backup/candidates/save_v2.php",157,") VALUES (UUID(), ?, ?, ?, ?, ?)"
"_backups/api_backup/cv/parse.php",245,"$uuid = bin2hex(random_bytes(16));"
"_backups/api_backup/candidates.php",330,"$candidateId = 'cnd-' . bin2hex(random_bytes(16));"
"_backups/api_backup/auth/staff-login.php",86,"$session_token = bin2hex(random_bytes(32));"
"vendor/ramsey/uuid/README.md",1,"ramsey/uuid (librería para generar UUIDs)"
"vendor/ramsey/uuid/src/UuidFactory.php",266,"public function fromString(string $uuid): UuidInterface"
"vendor/ramsey/uuid/src/BinaryUtils.php",15,"namespace Ramsey\\Uuid; (utilidades binarias para UUIDs)"

# Nota: Este CSV contiene las coincidencias recolectadas hasta el límite de búsqueda (maxResults=200 por llamada). Hay más resultados en el repositorio (ej. más apariciones en `vendor/` y en `_backups/` y múltiples migraciones). Si quieres que haga una extracción totalmente exhaustiva y sin truncamiento, puedo iterar por subcarpetas y generar un CSV completo sin duplicados.
