,file,line,severity,issue,snippet
2295,/audit/backend/config/input-sanitizer.php,15,CRITICAL,PHP dangerous \bexec\s*\(,"'/exec(\s|\+)+(s|x)p\w+/i',                   // stored procedures"
4188,/audit/backend/public/api/auth/sso/callback.php,47,CRITICAL,PHP dangerous base64_decode\s*\(,"$payload = json_decode(base64_decode(explode('.', $id_token)[1]), true);"
3150,/audit/backend/public/api/health-ocr.php,55,CRITICAL,PHP dangerous \bexec\s*\(,"@exec($cmd, $out, $code);"
3759,/audit/backend/public/api/send-email.php,328,CRITICAL,PHP dangerous preg_replace\s*\(.+?/e,"$body = preg_replace('/<embed[^>]*>.*?<\/embed>/is', '', $body);"
2326,/audit/backend/public/auth-simple.php,49,CRITICAL,PHP dangerous base64_decode\s*\(,$decoded = base64_decode($token);
2330,/audit/backend/public/auth.php,53,CRITICAL,PHP dangerous base64_decode\s*\(,$decoded = base64_decode($token);
5,/audit/backend/scripts/add-gdpr-consent-columns.php,79,CRITICAL,PHP dangerous \bexec\s*\(,$pdo->exec($columnInfo['sql']);
6,/audit/backend/scripts/add-gdpr-consent-columns.php,124,CRITICAL,PHP dangerous \bexec\s*\(,$pdo->exec($indexSql);
110,/audit/backend/scripts/setup-candidate-tables.php,127,CRITICAL,PHP dangerous \bexec\s*\(,$pdo->exec($alterSQL);
111,/audit/backend/scripts/setup-candidate-tables.php,174,CRITICAL,PHP dangerous \bexec\s*\(,$pdo->exec($config['sql']);
182,/audit/backend/scripts/test_notification_preferences.php,30,CRITICAL,PHP dangerous \bexec\s*\(,$db->exec($sql);
769,/audit/backend/src/Middleware/JWTMiddleware.php,41,CRITICAL,PHP dangerous base64_decode\s*\(,"return base64_decode(strtr($data, '-_', '+/'));"
1465,/audit/backend/src/Models/SocialLogin.php,474,CRITICAL,PHP dangerous base64_decode\s*\(,$data = base64_decode($encryptedValue);
1875,/audit/backend/src/Services/PdfTextService.php,343,CRITICAL,PHP dangerous \bexec\s*\(,"@exec($probe, $out, $code);"
1876,/audit/backend/src/Services/PdfTextService.php,355,CRITICAL,PHP dangerous \bexec\s*\(,"exec($cmd, $output, $exit); // Limitaciones: sin timeout duro nativo."
2107,/audit/backend/src/Utils/JWT.php,460,CRITICAL,PHP dangerous base64_decode\s*\(,"return base64_decode(strtr($data, '-_', '+/'));"
2131,/audit/backend/src/Utils/JWTHelper.php,21,CRITICAL,PHP dangerous base64_decode\s*\(,"return base64_decode(str_pad(strtr($data, '-_', '+/'), strlen($data) % 4, '=', STR_PAD_RIGHT));"
4506,/audit/frontend/.env,0,CRITICAL,Secret in VITE_* env (exposed to client),"# Frontend Environment - DESARROLLO LOCAL
# Archivo para desarrollo local

# API Configuration
VITE_API_BASE_URL=http://localhost:8000/api
VITE_API_PROXY_TARGET=http://localhost:8000
VITE_APP_ENV=deve"
4504,/audit/frontend/.env.development,0,CRITICAL,Secret in VITE_* env (exposed to client),"# Frontend Environment - DESARROLLO LOCAL
# Archivo para desarrollo local

# API Configuration
VITE_API_BASE_URL=http://localhost:8000/api
VITE_API_PROXY_TARGET=http://localhost:8000
VITE_APP_ENV=deve"
4505,/audit/frontend/.env.production,0,CRITICAL,Secret in VITE_* env (exposed to client),"# Frontend Environment - PRODUCCIÓN SEGURA
# ⚠️ NUNCA SUBIR ESTE ARCHIVO AL REPOSITORIO
# Usar variables de entorno del sistema

# API Configuration
VITE_API_BASE_URL=${VITE_API_BASE_URL}
VITE_API_PRO"
0,/audit/backend/autoload.php,88,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","error_log(""Autoloader: Failed to load class '$className'"");"
1,/audit/backend/autoload.php,115,HIGH,SQL string concat \$[A-Za-z_][A-Za-z0-9_]*\s*\.\s*\$[A-Za-z_][A-Za-z0-9_]*,$filePath = $directory . $relativeClass . '.php';
2,/audit/backend/autoload.php,144,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","__DIR__ . '/src/' . $baseClassName . '.php',"
3,/audit/backend/autoload.php,145,HIGH,"SQL string concat ['\""][^'\""]*\$[A-Za-z_][A-Za-z0-9_]*[^'\""]*['\""]","__DIR__ . '/config/' . $baseClassName . '.php',"
